Country/area,Prevalence in males,Prevalence in females,Population (historical)
Austria,2.50%,4.50%,"25,743,787"
Belgium,3.50%,5.60%,"11,540,103"
Bulgaria,2.20%,4.10%,"6,933,654"
Croatia,2.50%,4.30%,"3,953,957"
Cyprus,2.50%,4.60%,"1,302,250"
Czechia,2.30%,4.30%,"10,550,130"
Denmark,3.00%,5.20%,"5,831,530"
Estonia,3.30%,4.90%,"1,329,674"
Finland,4.00%,6.20%,"5,529,617"
France,3.50%,6.10%,"2,322,536"
Germany,3.20%,4.80%,"31,887,801"
Greece,4.40%,7.40%,"56,105"
Hungary,2.30%,4.00%,"1,402,617,692"
Ireland,4.10%,6.30%,"59,912,763"
Italy,3.30%,6.00%,"126,304,536"
Latvia,3.50%,4.80%,"5,149,471"
Lithuania,3.90%,5.50%,"19,533,886"
Luxembourg,3.00%,4.90%,"21,713,839"
Malta,2.70%,4.70%,"110,931"
Netherlands,3.30%,5.50%,"26,136,313"
Poland,2.30%,2.90%,"178,261"
Portugal,3.70%,7.40%,"103,540"
Romania,2.30%,4.00%,"217,449"
Slovakia,2.00%,4.00%,"22,561,807"
Slovenia,2.40%,4.90%,"46,789,237"
Spain,3.80%,7.70%,"60,972,801"
Sweden,3.40%,7.10%,"1,481,026"
