Country/area,Prevalence in males,Prevalence in females,Population (historical)
Austria,2.60%,4.60%,"25,956,416"
Belgium,3.40%,5.20%,"9,251,367"
Bulgaria,2.40%,4.60%,"451,723"
Croatia,2.60%,4.50%,"29,639,735"
Cyprus,2.60%,4.80%,"11,122,169"
Czechia,2.40%,4.50%,"1,317,312"
Denmark,3.00%,5.30%,"99,148,931"
Estonia,3.60%,5.60%,"1,331,750"
Finland,4.10%,6.40%,"66,083,547"
France,3.50%,6.00%,"2,376,728"
Germany,3.30%,5.10%,"32,518,662"
Greece,4.70%,7.90%,"56,065"
Hungary,2.50%,4.30%,"1,414,203,889"
Ireland,4.10%,6.40%,"59,729,354"
Italy,3.20%,5.90%,"125,679,341"
Latvia,4.10%,5.60%,"5,259,326"
Lithuania,4.40%,6.20%,"20,047,263"
Luxembourg,3.00%,6.20%,"22,388,638"
Malta,2.70%,4.70%,"111,636"
Netherlands,3.30%,5.40%,"26,232,531"
Poland,3.40%,3.00%,"178,540"
Portugal,3.80%,7.60%,"102,848"
Romania,2.40%,4.20%,"221,975"
Slovakia,2.20%,4.50%,"22,700,377"
Slovenia,2.40%,5.00%,"48,066,927"
Spain,3.70%,7.40%,"62,830,413"
Sweden,3.30%,6.90%,"1,487,715"
