Country/area,Ages 5-14,Ages 15-19,Ages 20-24,Ages 25-29,Ages 30-34,Ages 35-39,Ages 40-44,Ages 45-49,Ages 50-54,Ages 55-59,Ages 60-64,Ages 65-69,Ages 70+,All ages
,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021,percent • 2021
Austria,1.11%,3.96%,4.89%,5.02%,5.07%,5.20%,5.19%,4.99%,4.77%,4.57%,4.43%,4.34%,4.21%,4.13%
Belgium,1.26%,4.60%,5.77%,5.85%,6.05%,6.63%,6.81%,6.36%,5.91%,5.47%,5.13%,4.90%,4.57%,4.81%
Croatia,0.59%,2.81%,4.01%,4.08%,4.16%,4.44%,4.83%,5.33%,5.74%,6.11%,6.40%,6.56%,6.94%,4.66%
Cyprus,1.25%,4.35%,5.05%,5.08%,5.07%,5.17%,5.18%,5.06%,4.87%,4.68%,4.53%,4.43%,4.31%,4.20%
Czechia,0.59%,2.86%,4.08%,4.21%,4.32%,4.56%,4.89%,5.29%,5.60%,5.86%,6.03%,6.03%,6.06%,4.39%
Denmark,1.25%,4.35%,5.32%,5.42%,5.63%,6.20%,6.45%,6.20%,5.90%,5.63%,5.43%,5.29%,5.06%,4.77%
Estonia,0.77%,3.60%,5.06%,5.27%,5.48%,5.95%,6.48%,7.07%,7.58%,8.01%,8.35%,8.54%,8.82%,5.90%
Finland,1.50%,6.21%,8.35%,7.73%,7.29%,7.48%,7.47%,7.11%,6.76%,6.39%,6.06%,5.72%,5.13%,5.74%
France,1.46%,5.04%,6.12%,6.20%,6.52%,7.40%,7.71%,7.18%,6.64%,6.12%,5.76%,5.57%,5.38%,5.31%
Germany,1.32%,4.79%,5.78%,5.65%,5.63%,5.96%,6.05%,5.82%,5.56%,5.32%,5.19%,5.15%,5.06%,4.81%
Greece,2.13%,7.09%,8.44%,8.52%,8.59%,8.84%,8.90%,8.72%,8.54%,8.35%,8.14%,7.85%,7.47%,7.30%
Hungary,0.53%,2.55%,3.62%,3.74%,3.94%,4.40%,4.89%,5.38%,5.77%,6.15%,6.40%,6.36%,6.27%,4.46%
Ireland,1.57%,6.37%,8.53%,7.92%,7.48%,7.55%,7.39%,7.02%,6.64%,6.31%,5.93%,5.50%,4.80%,5.59%
Italy,1.32%,5.08%,6.13%,6.29%,6.39%,6.53%,6.54%,6.35%,6.13%,5.91%,5.76%,5.67%,5.69%,5.37%
Latvia,0.76%,3.57%,5.11%,5.76%,6.22%,6.59%,7.06%,7.59%,8.00%,8.34%,8.54%,8.57%,8.42%,6.19%
Lithuania,0.79%,4.18%,6.22%,6.64%,7.01%,7.52%,8.02%,8.42%,8.69%,8.88%,8.94%,8.75%,8.29%,6.73%
Luxembourg,1.22%,4.33%,5.25%,5.34%,5.32%,5.44%,5.45%,5.30%,5.12%,4.96%,4.88%,4.84%,4.86%,4.44%
Malta,1.22%,4.28%,4.99%,5.03%,5.04%,5.09%,5.07%,4.95%,4.80%,4.66%,4.57%,4.50%,4.44%,4.19%
Netherlands,1.42%,4.89%,5.96%,5.98%,6.10%,6.54%,6.67%,6.30%,5.90%,5.53%,5.24%,5.03%,4.75%,4.92%
Poland,0.39%,2.09%,3.22%,3.49%,3.71%,3.98%,4.22%,4.37%,4.42%,4.43%,4.36%,4.16%,3.83%,3.35%
Portugal,1.95%,6.34%,7.44%,7.44%,7.62%,8.23%,8.47%,8.17%,7.86%,7.57%,7.41%,7.43%,7.65%,6.87%
Romania,0.61%,2.79%,3.89%,3.98%,4.08%,4.36%,4.69%,5.02%,5.27%,5.50%,5.66%,5.60%,5.44%,4.11%
Slovakia,0.58%,2.75%,3.90%,4.06%,4.20%,4.44%,4.77%,5.18%,5.51%,5.79%,5.94%,5.90%,5.87%,4.24%
Slovenia,0.56%,2.86%,4.19%,4.37%,4.47%,4.63%,4.98%,5.55%,6.06%,6.50%,6.75%,6.74%,6.99%,4.83%
Spain,2.17%,6.19%,7.40%,7.43%,7.52%,7.88%,7.94%,7.63%,7.33%,7.05%,6.81%,6.63%,6.37%,6.35%
Sweden,1.13%,5.41%,7.50%,7.47%,7.39%,7.50%,7.46%,7.16%,6.83%,6.47%,6.18%,5.93%,5.56%,5.60%
